Product Code,Amazon ASIN,Name,Sku Id,Description,Selling Price,MRP,Cost Price,Quantity,Packaging Length (in cm),Packaging Breadth (in cm),Packaging Height (in cm),Packaging Weight (in kg),GST %,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Video 1,Video 2,Product Type,Size,Colour,Return/Exchange Condition,HSN Code,Customisation Id,Category Name,Sub Category Name,Store Name
"PROD001","B08N5WRWNW","Smartphone X Pro","SKU-SMX001","Latest smartphone with 5G capability, 128GB storage, and 48MP camera","29999","34999","25000","50","15.5","7.5","0.8","0.18","18","smartphone-x-pro-1.jpg","smartphone-x-pro-2.jpg","","","","","","","","","","Electronics","6.1 inch","Black","7 days return, 1 year warranty","8517","SMX-CUST","Electronics","Smartphones","Test Store"
"PROD002","B07XYZ1234","Laptop Pro Ultra","SKU-LPU001","High performance laptop with Intel i7, 16GB RAM, 512GB SSD","89999","99999","75000","25","35","24","2","2.5","18","laptop-pro-ultra-1.jpg","laptop-pro-ultra-2.jpg","","","","","","","","","","Electronics","15.6 inch","Silver","15 days return, 2 year warranty","8471","LPU-CUST","Electronics","Laptops","Test Store"
"PROD003","B09ABC5678","Wireless Headphones","SKU-WH001","Premium noise-cancelling wireless headphones with 30-hour battery","8999","10999","6500","100","20","18","8","0.3","18","headphones-1.jpg","headphones-2.jpg","","","","","","","","","","Electronics","One Size","Black","7 days return, 1 year warranty","8518","WH-CUST","Electronics","Audio","Test Store"
"PROD004","B10DEF9012","Gaming Mouse RGB","SKU-GM001","Ergonomic gaming mouse with customizable RGB lighting and 16000 DPI","3999","4999","2800","75","12","6","4","0.12","18","gaming-mouse-1.jpg","gaming-mouse-2.jpg","","","","","","","","","","Electronics","Standard","Black","7 days return, 1 year warranty","8471","GM-CUST","Electronics","Gaming","Test Store"
"PROD005","B11GHI3456","Mechanical Keyboard","SKU-MK001","Cherry MX Blue mechanical keyboard with RGB backlighting","5999","6999","4500","60","44","13","3","1.2","18","keyboard-1.jpg","keyboard-2.jpg","","","","","","","","","","Electronics","Full Size","Black","7 days return, 1 year warranty","8471","MK-CUST","Electronics","Gaming","Test Store"
"PROD006","B12JKL7890","4K Monitor","SKU-4KM001","27-inch 4K Ultra HD monitor with HDR and FreeSync","24999","29999","20000","30","61","27","5","4.8","18","monitor-1.jpg","monitor-2.jpg","","","","","","","","","","Electronics","27 inch","Black","7 days return, 2 year warranty","8528","4KM-CUST","Electronics","Monitors","Test Store"
"PROD007","B13MNO1234","External SSD","SKU-ESSD001","1TB external SSD with USB 3.2 Gen 2, 1050MB/s read speed","12999","14999","10000","40","10","5","1","0.08","18","ssd-1.jpg","ssd-2.jpg","","","","","","","","","","Electronics","1TB","Silver","7 days return, 3 year warranty","8471","ESSD-CUST","Electronics","Storage","Test Store"
"PROD008","B14PQR5678","Webcam HD","SKU-WC001","1080p HD webcam with autofocus and built-in microphone","2999","3999","2200","80","8","6","4","0.15","18","webcam-1.jpg","webcam-2.jpg","","","","","","","","","","Electronics","1080p","Black","7 days return, 1 year warranty","8525","WC-CUST","Electronics","Cameras","Test Store"
"PROD009","B15STU9012","Bluetooth Speaker","SKU-BS001","Portable Bluetooth speaker with 20W output and waterproof design","4999","5999","3500","90","18","8","8","0.8","18","speaker-1.jpg","speaker-2.jpg","","","","","","","","","","Electronics","Portable","Blue","7 days return, 1 year warranty","8518","BS-CUST","Electronics","Audio","Test Store"
"PROD010","B16VWX3456","Tablet Pro","SKU-TP001","10.1-inch tablet with 128GB storage, 8GB RAM, and Android 12","19999","22999","16000","35","25","15","0.8","0.5","18","tablet-1.jpg","tablet-2.jpg","","","","","","","","","","Electronics","10.1 inch","Silver","7 days return, 1 year warranty","8471","TP-CUST","Electronics","Tablets","Test Store"
