Product Code,Amazon ASIN,Name,Sku Id,Description,Selling Price,MRP,Cost Price,Quantity,Packaging Length (in cm),Packaging Breadth (in cm),Packaging Height (in cm),Packaging Weight (in kg),GST %,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Video 1,Video 2,Product Type,Size,Colour,Return/Exchange Condition,HSN Code,Customisation Id,Category ID,Sub Category ID,Store ID
PROD001,ASIN001,Wireless Bluetooth Headphones,SKU001,High-quality wireless headphones with noise cancellation and 30-hour battery life,2999.00,3999.00,2000.00,50,15.5,12.0,8.0,0.3,18,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=400&h=400&fit=crop,,,,,,,,,Electronics,Medium,Black,7 days return with original packaging,8518,HEAD001,1,19,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD002,ASIN002,Smart Watch Series 5,SKU002,Feature-rich smartwatch with health tracking heart rate monitor and GPS,4999.00,5999.00,3500.00,30,4.0,4.0,1.2,0.05,18,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1544117519-31a4b719223d?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1579586337278-3befd40fd17a?w=400&h=400&fit=crop,,,,,,,,,Electronics,Standard,Silver,15 days return,9102,WATCH001,1,20,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD003,ASIN003,Portable Bluetooth Speaker,SKU003,Portable Bluetooth speaker with deep bass and waterproof design,1999.00,2499.00,1400.00,75,20.0,15.0,10.0,0.8,18,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1545454675-3531b543be5d?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1545454675-3531b543be5d?w=400&h=400&fit=crop,,,,,,,,,Electronics,Large,Blue,10 days return,8518,SPEAK001,1,21,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD004,ASIN004,Gaming Laptop Pro,SKU004,High-performance gaming laptop with RTX graphics and 16GB RAM,89999.00,99999.00,75000.00,15,35.0,25.0,2.5,2.8,18,https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=400&h=400&fit=crop,,,,,,,,,Electronics,15.6 inch,Black,30 days return,8471,LAPTOP001,1,20,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD005,ASIN005,Wireless Gaming Mouse,SKU005,Precision gaming mouse with RGB lighting and 16000 DPI sensor,2499.00,2999.00,1800.00,100,12.5,6.5,4.0,0.12,18,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1563297007-0686b7003af7?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400&h=400&fit=crop,,,,,,,,,Electronics,Standard,Black,7 days return,8471,MOUSE001,1,20,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD006,ASIN006,Mechanical Gaming Keyboard,SKU006,RGB mechanical keyboard with Cherry MX switches and wrist rest,3999.00,4999.00,2800.00,40,44.0,14.0,3.0,1.2,18,https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=400&h=400&fit=crop,,,,,,,,,Electronics,Full Size,Black,7 days return,8471,KEYBOARD001,1,20,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD007,ASIN007,4K Gaming Monitor,SKU007,27-inch 4K gaming monitor with 144Hz refresh rate and HDR,29999.00,34999.00,25000.00,20,61.0,27.0,5.0,4.5,18,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1574944985070-8b3b3a2b5b3b?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400&h=400&fit=crop,,,,,,,,,Electronics,27 inch,Black,15 days return,8528,MONITOR001,1,20,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD008,ASIN008,Wireless Earbuds Pro,SKU008,True wireless earbuds with active noise cancellation and wireless charging,5999.00,6999.00,4200.00,60,2.5,2.5,2.0,0.08,18,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1572569511254-d8f925fe2cbb?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400&h=400&fit=crop,,,,,,,,,Electronics,Standard,White,7 days return,8518,EARBUDS001,1,19,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD009,ASIN009,Tablet Pro Max,SKU009,10.9-inch tablet with A14 chip and 256GB storage,39999.00,44999.00,32000.00,25,25.0,17.5,0.7,0.48,18,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1561154464-82e9adf32764?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=400&h=400&fit=crop,,,,,,,,,Electronics,10.9 inch,Space Gray,15 days return,8471,TABLET001,1,21,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD010,ASIN010,Smart Home Hub,SKU010,Central hub for controlling all smart home devices with voice commands,7999.00,8999.00,5600.00,35,12.0,12.0,3.0,0.3,18,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400&h=400&fit=crop,,,,,,,,,Electronics,Standard,White,7 days return,8518,HUB001,1,19,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
