Product Code,Amazon ASIN,Name,Sku Id,Description,Selling Price,MRP,Cost Price,Quantity,Packaging Length (in cm),Packaging Breadth (in cm),Packaging Height (in cm),Packaging Weight (in kg),GST %,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Video 1,Video 2,Product Type,Size,Colour,Return/Exchange Condition,HSN Code,Customisation Id,Category ID,Sub Category ID,Store ID
PROD001,ASIN001,Wireless Bluetooth Headphones,SKU001,High-quality wireless headphones with noise cancellation and 30-hour battery life,2999.00,3999.00,2000.00,50,15.5,12.0,8.0,0.3,18,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=400&h=400&fit=crop,,,,,,,,,Electronics,Medium,Black,7 days return with original packaging,8518,HEAD001,1,19,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD002,ASIN002,Smart Watch Series 5,SKU002,Feature-rich smartwatch with health tracking heart rate monitor and GPS,4999.00,5999.00,3500.00,30,4.0,4.0,1.2,0.05,18,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1544117519-31a4b719223d?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1579586337278-3befd40fd17a?w=400&h=400&fit=crop,,,,,,,,,Electronics,Standard,Silver,15 days return,9102,WATCH001,1,20,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD003,ASIN003,Portable Bluetooth Speaker,SKU003,Portable Bluetooth speaker with deep bass and waterproof design,1999.00,2499.00,1400.00,75,20.0,15.0,10.0,0.8,18,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1545454675-3531b543be5d?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1545454675-3531b543be5d?w=400&h=400&fit=crop,,,,,,,,,Electronics,Large,Blue,10 days return,8518,SPEAK001,1,21,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD004,ASIN004,Gaming Laptop Pro,SKU004,High-performance gaming laptop with RTX 4070 graphics and 32GB RAM,89999.00,99999.00,75000.00,15,35.0,25.0,2.5,3.2,18,https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop,,,,,,,,,Electronics,Large,Black,14 days return,8471,LAPTOP001,1,19,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD005,ASIN005,4K Ultra HD Smart TV,SKU005,55-inch 4K Ultra HD Smart TV with HDR and built-in streaming apps,45999.00,54999.00,38000.00,25,123.0,7.0,72.0,18.5,18,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400&h=400&fit=crop,,,,,,,,,Electronics,Large,Black,21 days return,8528,TV001,1,19,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD006,ASIN006,Wireless Gaming Mouse,SKU006,RGB wireless gaming mouse with 25K DPI sensor and 70-hour battery life,3499.00,4499.00,2500.00,100,12.5,6.5,4.0,0.12,18,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1563297007-0686b7003af7?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1563297007-0686b7003af7?w=400&h=400&fit=crop,,,,,,,,,Electronics,Medium,Black,7 days return,8471,MOUSE001,1,20,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD007,ASIN007,Mechanical Gaming Keyboard,SKU007,Cherry MX Blue mechanical gaming keyboard with RGB backlighting,5999.00,7499.00,4200.00,80,44.0,13.5,3.5,1.1,18,https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=400&h=400&fit=crop,,,,,,,,,Electronics,Large,Black,7 days return,8471,KEYBOARD001,1,20,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD008,ASIN008,Wireless Earbuds Pro,SKU008,Active noise cancelling wireless earbuds with 24-hour total battery life,8999.00,10999.00,6500.00,60,2.5,2.0,2.0,0.08,18,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1572569511254-d8f925fe2cbb?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1572569511254-d8f925fe2cbb?w=400&h=400&fit=crop,,,,,,,,,Electronics,Small,White,7 days return,8518,EARBUDS001,1,21,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD009,ASIN009,Portable Power Bank,SKU009,20000mAh portable power bank with fast charging and multiple ports,2499.00,2999.00,1800.00,120,15.0,8.0,2.0,0.35,18,https://images.unsplash.com/photo-1609592806598-ef25b0f7b0b9?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1609592806598-ef25b0f7b0b9?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1609592806598-ef25b0f7b0b9?w=400&h=400&fit=crop,,,,,,,,,Electronics,Medium,Black,7 days return,8504,POWERBANK001,1,19,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
PROD010,ASIN010,Wireless Charging Pad,SKU010,15W fast wireless charging pad compatible with all Qi-enabled devices,1499.00,1999.00,1000.00,90,10.0,10.0,1.0,0.2,18,https://images.unsplash.com/photo-1609592806598-ef25b0f7b0b9?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1609592806598-ef25b0f7b0b9?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1609592806598-ef25b0f7b0b9?w=400&h=400&fit=crop,,,,,,,,,Electronics,Small,White,7 days return,8504,CHARGER001,1,20,ce32fe90-7eaa-11f0-a328-f5704f3e47ab
